id,stock_name,price_per_unit,percentage_change,created_at,updated_at,symbol
1,Apple Inc,176.28,+0.36%,2021-12-27 10:56:40.613988,2021-12-27 10:56:40.613988,AAPL
2,Tesla Inc,1067,+5.76%,2021-12-27 10:56:41.519434,2021-12-27 10:56:41.519434,TSLA
3,"Nike, Inc. - Class B",165.67,+0.14%,2021-12-27 10:56:42.542979,2021-12-27 10:56:42.542979,NKE
4,Accenture plc - Class A,403.31,-0.09%,2021-12-27 10:56:43.447919,2021-12-27 10:56:43.447919,ACN
5,Unilever plc - ADR,52.82,+0.69%,2021-12-27 10:56:44.410566,2021-12-27 10:56:44.410566,UL
6,Uber Technologies Inc,43.91,+2.07%,2021-12-27 10:56:45.330058,2021-12-27 10:56:45.330058,UBER
7,Amazon.com Inc.,3421.37,+0.02%,2021-12-27 10:56:46.253392,2021-12-27 10:56:46.253392,AMZN
8,AUDI AG,1940,0.00%,2021-12-27 10:56:47.220637,2021-12-27 10:56:47.220637,AUDVF
9,Advanced Micro Devices Inc.,146.14,+1.57%,2021-12-27 10:56:48.390434,2021-12-27 10:56:48.390434,AMD
10,Microsoft Corporation,334.69,+0.45%,2021-12-27 10:56:49.657297,2021-12-27 10:56:49.657297,MSFT
11,Pixelworks Inc,4.93,+1.65%,2021-12-27 10:56:50.601643,2021-12-27 10:56:50.601643,PXLW
12,Adobe Inc,569.62,+1.00%,2021-12-27 10:56:51.547233,2021-12-27 10:56:51.547233,ADBE
13,Verizon Communications Inc,52.68,-0.17%,2021-12-27 10:56:52.502021,2021-12-27 10:56:52.502021,VZ
14,Canon Inc.,24.9925,+0.78%,2021-12-27 10:56:53.433381,2021-12-27 10:56:53.433381,CAJFF
15,Nikon Corp.,10.49,-0.66%,2021-12-27 10:56:54.368662,2021-12-27 10:56:54.368662,NINOF
16,FUJIFILM Holdings Corp,78.5,-0.73%,2021-12-27 10:56:55.297208,2021-12-27 10:56:55.297208,FUJIF
17,Sony Group Corporation - ADR,123.86,+0.62%,2021-12-27 10:56:56.233012,2021-12-27 10:56:56.233012,SONY
18,"Mitsubishi UFJ Financial Group, Inc.",5.34,-4.61%,2021-12-27 10:56:57.21926,2021-12-27 10:56:57.21926,MBFJF
19,Toyota Motor Corp.,18.31,+0.72%,2021-12-27 10:56:58.195419,2021-12-27 10:56:58.195419,TOYOF
20,Koninklijke Philips N.V. - ADR,36.3,+2.02%,2021-12-27 10:56:59.114486,2021-12-27 10:56:59.114486,PHG
21,"Casio Computer Co., Ltd.",13.42,-17.42%,2021-12-27 10:57:00.015397,2021-12-27 10:57:00.015397,CSIOF
22,"Yamaha Motor Co., Ltd.",25.23,+4.67%,2021-12-27 10:57:00.978709,2021-12-27 10:57:00.978709,YAMHF
23,Coca-Cola Co,58.22,+0.07%,2021-12-27 10:57:01.958768,2021-12-27 10:57:01.958768,KO
24,PepsiCo Inc,169.78,-0.11%,2021-12-27 10:57:02.901637,2021-12-27 10:57:02.901637,PEP
25,Caterpillar Inc.,206.2,+2.00%,2021-12-27 10:57:03.842708,2021-12-27 10:57:03.842708,CAT
26,Twitter Inc,44.16,+0.59%,2021-12-27 10:57:04.805107,2021-12-27 10:57:04.805107,TWTR
27,NVIDIA Corp,296.4,+0.82%,2021-12-27 10:57:05.996084,2021-12-27 10:57:05.996084,NVDA
28,"Wacom Co., Ltd.",8.425,+6.51%,2021-12-27 10:57:06.908521,2021-12-27 10:57:06.908521,WACMF
29,Hyatt Hotels Corporation - Class A,93.62,+2.31%,2021-12-27 10:57:07.849997,2021-12-27 10:57:07.849997,H
30,Costco Wholesale Corp,550.37,+0.13%,2021-12-27 10:57:08.857774,2021-12-27 10:57:08.857774,COST
31,Dell Technologies Inc - Class C,55.88,+0.92%,2021-12-27 10:57:09.957087,2021-12-27 10:57:09.957087,DELL
32,Godaddy Inc - Class A,76,+0.40%,2021-12-27 10:57:10.907541,2021-12-27 10:57:10.907541,GDDY
33,Seiko Epson Corp.,17.76,-2.32%,2021-12-27 10:57:11.83178,2021-12-27 10:57:11.83178,SEKEF
34,StoneCo Ltd - Class A,17.41,+9.29%,2021-12-27 10:57:12.762033,2021-12-27 10:57:12.762033,STNE
35,Boeing Co.,204.22,+1.25%,2021-12-27 10:57:13.659161,2021-12-27 10:57:13.659161,BA
36,Walt Disney Co (The),153.63,+1.15%,2021-12-27 10:57:14.599277,2021-12-27 10:57:14.599277,DIS
37,"Home Depot, Inc.",397.07,+0.36%,2021-12-27 10:57:16.056274,2021-12-27 10:57:16.056274,HD
38,Starbucks Corp.,112.37,+0.56%,2021-12-27 10:57:17.352715,2021-12-27 10:57:17.352715,SBUX
39,Gamestop Corporation - Class A,152.14,-1.21%,2021-12-27 10:57:18.337142,2021-12-27 10:57:18.337142,GME
40,adidas AG,293.1,+4.12%,2021-12-27 10:57:19.314959,2021-12-27 10:57:19.314959,ADDDF
41,Target Corp,221.01,+1.50%,2021-12-27 10:57:20.283499,2021-12-27 10:57:20.283499,TGT
42,Under Armour Inc - Class C,17.55,+1.09%,2021-12-27 10:57:21.198799,2021-12-27 10:57:21.198799,UA
43,"Samsung Electronics Co., Ltd.",57.75,0.00%,2021-12-27 10:57:22.32495,2021-12-27 10:57:22.32495,SSNLF
44,Intel Corp.,51.31,+0.67%,2021-12-27 10:57:23.25221,2021-12-27 10:57:23.25221,INTC
45,Wynn Resorts Ltd.,88.88,+3.50%,2021-12-27 10:57:24.18755,2021-12-27 10:57:24.18755,WYNN
46,Las Vegas Sands Corp,38.59,+4.21%,2021-12-27 10:57:25.101415,2021-12-27 10:57:25.101415,LVS
47,Discovery Inc - Class A,24.42,+3.34%,2021-12-27 10:57:26.018326,2021-12-27 10:57:26.018326,DISCA
48,"Qualcomm, Inc.",182.74,+0.75%,2021-12-27 10:57:27.018884,2021-12-27 10:57:27.018884,QCOM
49,Alibaba Group Holding Ltd.,14.985,+2.37%,2021-12-27 10:57:28.239366,2021-12-27 10:57:28.239366,BABAF
